報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
2005/03,24200510,60698498,19091850,504985195,659689952,1235649118,1238922471,1348724475,684047855
2005/04,25301926,66276400,19481681,503850842,608718017,1144695794,1213810260,1276616681,645573909
2005/05,21716113,57900798,23512922,430493064,587888127,1004872735,1030141385,1082679195,556014015
2005/06,23679371,63597085,34257239,456420392,661285787,1141653832,1179129540,1281317858,636843026
2005/07,23828430,58398255,40496402,480500850,633479736,1143916866,1232798085,1258257473,665104306
2005/08,24356261,63718688,48213248,473927032,610835943,1044632235,1193251411,1110998628,650059362
2005/09,27276738,60918312,60187670,513555142,641798726,1162388545,1349956276,1375058060,735969824
2005/10,34007148,69865606,60934918,536970839,625911469,1141160215,1367508146,1366176980,708041708
2005/11,31726283,66398534,64926750,529179568,622221106,1129335686,1358018307,1413276021,698487574
2005/12,38014469,74898984,65971190,577990864,722916099,1291157462,1389979462,1445111028,731026892
2006/01,23276637,52872492,35180871,488019241,539091505,928664667,1061716060,1303938006,570911031
2006/02,26170957,66069739,39499834,552890826,648073273,1166665876,1243202576,1443755708,663164760
2006/03,28202658,78215668,40649265,584197650,794007408,1436816260,1401650629,1667687857,782741844
2006/04,29019359,74958215,52574650,563048905,671816696,1232399349,1325148835,1467127529,712776249
2006/05,27313383,78620248,46177465,511612500,678887824,1170318013,1180053800,1338473958,671954449
2006/06,27986106,72979579,50453804,556268428,766819415,1272157127,1309912719,1465939585,748220893
2006/07,26169367,79721294,71996073,554703308,738381168,1255550807,1337552773,1520969355,735608228
2006/08,27455189,79407586,70212851,588436985,739843069,1200746066,1331589618,1389723588,713068944
2006/09,31828172,74596002,84549607,600129875,755932963,1310628180,1507578569,1665595614,797602017
2006/10,36674130,83392664,56339718,580528115,752410623,1227605952,1466539412,1604945201,789034883
2006/11,33903219,74026288,53077934,585941206,758667567,1222017831,1441223341,1689910784,770866312
2006/12,40010152,84815622,44168599,628086851,829892462,1376407975,1469518217,1685548996,800689689
2007/01,34629948,68970996,32311936,577430087,674263885,1142048533,1204664105,1575211751,643140538
2007/02,28884612,74537837,54211682,595999441,752399774,1299363906,1300619039,1623123591,686967085
2007/03,33112125,94020890,90306674,662552343,874807858,1549994260,1535968736,1860765659,811438053
